BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4310,Koblenz,http://i.imgur.com/NUihGv5.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4311,Leibstadt,http://i.imgur.com/nDEg55x.png,Elektra Leibstadt,,17.22,7.7553334,7.00825,0.15,2.3,,,,,,17.22
4312,Lengnau,http://i.imgur.com/jtVn2cE.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4313,Leuggern,http://i.imgur.com/jwxM3DD.png,AEW Energie AG,Elektra Mettauertal und Umgebung,19.14,8.530548,7.806655,0.5,2.3,19.09,9.68,6.9,0.21,2.3,19.115000000000002
4314,Mellikon,http://i.imgur.com/nxzSlN6.png,Elektragenossenschaft Mellikon,,18.81,9.241405,7.2712855,,2.3,,,,,,18.81
4315,Rekingen,http://i.imgur.com/L3LxyZ0.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4316,Rietheim,http://i.imgur.com/GdFbyfK.png,Elektra Rietheim,,16.55,7.358524,6.438095,0.45,2.3,,,,,,16.55
4317,Rümikon,http://i.imgur.com/yB4U0hv.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4318,Schneisingen,http://i.imgur.com/VRUk88K.png,AEW Energie AG,Elektra Genossenschaft Schneisingen,19.14,8.530548,7.806655,0.5,2.3,20.24,9.9765,7.6,0.36,2.3,19.689999999999998
4319,Siglistorf,http://i.imgur.com/npW0y0w.png,Elektra-Genossenschaft Siglistorf,Elektrizitätsgenossenschaft Siglistorf-Wislikofen-Mellstorf,,,,,,18.42,9.4,6.722881,,2.3,18.42
4320,Tegerfelden,http://i.imgur.com/EVYOopQ.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4322,Wislikofen,http://i.imgur.com/aTJL5Ed.png,Elektrizitätsgenossenschaft Siglistorf-Wislikofen-Mellstorf,,18.42,9.4,6.722881,,2.3,,,,,,18.42
4323,Bad Zurzach,http://i.imgur.com/mjSPuPu.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
